,freqocZoneVer,freqocZoneId,freqocZoneNm,signguCode,signguNm,acdntCo,centerX,centerY,zoneRds
13,2021090301,1165000447,문정아이파크모델하우스,11650,서울특별시 서초구,12,127.022336,37.496210,40
14,2021090301,1165000448,은도빌딩,11650,서울특별시 서초구,12,127.023870,37.505816,40
15,2021090301,1165000449,교육개발원입구,11650,서울특별시 서초구,5,127.038422,37.478022,40
16,2021090301,1165000450,현대자동차반포지점,11650,서울특별시 서초구,3,127.010539,37.504508,40
17,2021090301,1165000451,연세사랑병원입구,11650,서울특별시 서초구,3,126.985992,37.475831,40
18,2021090301,1165000452,동덕여고,11650,서울특별시 서초구,3,126.992712,37.473913,40
19,2021090301,1165000453,가인빌딩입구,11650,서울특별시 서초구,4,127.038504,37.473876,40
20,2021090301,1165000454,교동짬뽕,11650,서울특별시 서초구,8,127.020613,37.510922,40
21,2021090301,1165000455,월풀,11650,서울특별시 서초구,4,126.986396,37.501134,40
0,2021090301,1120000064,현대오일뱅크성동주유소,11200,서울특별시 성동구,15,127.044102,37.566881,40
1,2021090301,1120000065,JY빌딩,11200,서울특별시 성동구,5,127.069002,37.551237,40
2,2021090301,1120000066,신한철치과의원,11200,서울특별시 성동구,12,127.041211,37.560128,40
3,2021090301,1120000067,일하는여성의집입구,11200,서울특별시 성동구,3,127.073891,37.559448,40
4,2021090301,1120000068,태인카센타,11200,서울특별시 성동구,3,127.070827,37.560609,40
5,2021090301,1120000069,르노삼성자동차성수사업소입구,11200,서울특별시 성동구,3,127.059929,37.548238,40
6,2021090301,1120000070,스시도쿠,11200,서울특별시 성동구,5,127.035815,37.561062,40
7,2021090301,1120000071,장안동충전소LPG,11200,서울특별시 성동구,10,127.058530,37.562673,40
8,2021090301,1120000072,KEB하나은행화양동지점,11200,서울특별시 성동구,14,127.067468,37.548311,40
9,2021090301,1120000073,HairSalonS#,11200,서울특별시 성동구,4,127.050069,37.546299,40
10,2021090301,1120000074,고가네칼국수,11200,서울특별시 성동구,7,127.017742,37.545658,40
11,2021090301,1120000075,성수대교북단교차로,11200,서울특별시 성동구,23,127.035867,37.543666,40
12,2021090301,1120000076,성수현대그린아파트,11200,서울특별시 성동구,6,127.049584,37.540231,40
13,2021090301,1120000077,e편한세상금호117동,11200,서울특별시 성동구,6,127.025261,37.552367,40
14,2021090301,1120000078,태평양미용실,11200,서울특별시 성동구,5,127.054154,37.538969,40
15,2021090301,1120000079,목치과입구,11200,서울특별시 성동구,6,127.030101,37.564131,40
16,2021090301,1120000080,영동장모텔,11200,서울특별시 성동구,3,127.060848,37.536236,40
17,2021090301,1120000081,지하철2호선,11200,서울특별시 성동구,19,127.060501,37.543238,40
18,2021090301,1120000082,부동산임대,11200,서울특별시 성동구,8,127.026527,37.570562,40
19,2021090301,1120000083,동아맨션입구,11200,서울특별시 성동구,4,127.036532,37.566068,40
20,2021090301,1120000084,지하철2호선,11200,서울특별시 성동구,7,127.044082,37.551630,40
0,2021090301,1129000163,세심촌월곡점,11290,서울특별시 성북구,9,127.036213,37.608321,40
1,2021090301,1129000164,디올패션,11290,서울특별시 성북구,29,127.025855,37.603341,40
2,2021090301,1129000165,피쉬천국,11290,서울특별시 성북구,17,127.029247,37.607942,40
3,2021090301,1129000166,월곡2동주민센터,11290,서울특별시 성북구,4,127.047727,37.605987,40
4,2021090301,1129000167,김종탁치과의원,11290,서울특별시 성북구,3,127.050016,37.613377,40
5,2021090301,1129000168,장위판매대리점판대매리,11290,서울특별시 성북구,3,127.037464,37.613040,40
6,2021090301,1129000169,류인테리어,11290,서울특별시 성북구,4,127.007610,37.612775,40
7,2021090301,1129000170,북서울꿈의숲,11290,서울특별시 성북구,3,127.044978,37.620136,40
8,2021090301,1129000171,장월1교,11290,서울특별시 성북구,3,127.038038,37.602623,40
9,2021090301,1129000172,새마을금고정릉1동점,11290,서울특별시 성북구,3,127.016986,37.603098,40
10,2021090301,1129000173,올킬모터워시,11290,서울특별시 성북구,8,127.012597,37.603846,40
11,2021090301,1129000174,이은자한복점,11290,서울특별시 성북구,4,127.005729,37.588756,40
12,2021090301,1129000175,명품상설매장,11290,서울특별시 성북구,8,127.018599,37.588421,40
13,2021090301,1129000176,고려빌딩,11290,서울특별시 성북구,6,127.021749,37.581070,40
14,2021090301,1129000177,좋은비타민,11290,서울특별시 성북구,3,127.028263,37.586261,40
15,2021090301,1129000178,종암우림카이저팰리스입구,11290,서울특별시 성북구,15,127.033035,37.601981,40
16,2021090301,1129000179,김안과의원,11290,서울특별시 성북구,17,127.041903,37.602431,40
17,2021090301,1129000180,새마을금고입구,11290,서울특별시 성북구,6,127.010410,37.588379,40
18,2021090301,1129000181,석계역1번출구,11290,서울특별시 성북구,4,127.065009,37.614894,40
19,2021090301,1129000182,위니아딤채,11290,서울특별시 성북구,8,127.012689,37.591435,40
20,2021090301,1129000183,제일사,11290,서울특별시 성북구,3,127.021402,37.601773,40
21,2021090301,1129000184,미니스톱,11290,서울특별시 성북구,11,127.017784,37.593502,40
22,2021090301,1129000185,들꽃이한의원,11290,서울특별시 성북구,3,127.053216,37.608757,40
23,2021090301,1129000186,야원빌딩입구,11290,서울특별시 성북구,3,127.009871,37.608350,40
